                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.59442,                0.46264,                0.94707,                0.99671,                      1,                  0.995,                0.88178,                0.49051,                0.40432,                0.86622,             0.00024772,             0.00024772,             0.00024772
                     89,                0.56499,                0.41795,                0.93371,                0.99684,                      1,                  0.995,                0.88195,                0.47199,                0.39275,                0.85794,             0.00023121,             0.00023121,             0.00023121
                     90,                0.57811,                0.46682,                0.97599,                0.99663,                      1,                  0.995,                0.89974,                0.44933,                0.38662,                0.85016,             0.00021471,             0.00021471,             0.00021471
                     91,                0.53086,                0.40766,                0.89596,                0.99676,                      1,                  0.995,                0.90739,                0.43513,                0.37157,                0.84555,             0.00019821,             0.00019821,             0.00019821
                     92,                0.53265,                0.39917,                0.91967,                0.99613,                      1,                  0.995,                0.92006,                0.43217,                0.36743,                0.84921,              0.0001817,              0.0001817,              0.0001817
                     93,                0.52675,                0.47182,                0.90436,                0.99624,                      1,                  0.995,                0.92232,                0.43002,                0.36602,                0.84877,              0.0001652,              0.0001652,              0.0001652
                     94,                0.49342,                0.37915,                0.89063,                0.99633,                      1,                  0.995,                0.91591,                0.41974,                0.36729,                0.84203,              0.0001487,              0.0001487,              0.0001487
                     95,                0.58127,                 0.3901,                0.92722,                0.99637,                      1,                  0.995,                0.91319,                0.41214,                0.36345,                0.83507,             0.00013219,             0.00013219,             0.00013219
                     96,                0.48221,                0.37091,                0.87398,                0.99647,                      1,                  0.995,                0.90925,                0.40489,                0.34888,                0.82866,             0.00011569,             0.00011569,             0.00011569
                     97,                0.51809,                0.40829,                0.88329,                0.99679,                      1,                  0.995,                0.90422,                0.41161,                0.34569,                0.82932,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.46089,                0.39302,                0.86694,                0.99696,                      1,                  0.995,                0.90683,                0.41252,                0.34542,                0.82935,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.53277,                0.41488,                0.91175,                0.99711,                      1,                  0.995,                0.90617,                0.41465,                0.34448,                0.82952,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.49645,                0.34197,                0.90017,                0.99706,                      1,                  0.995,                0.90691,                0.41057,                0.34149,                0.82833,             4.9677e-05,             4.9677e-05,             4.9677e-05
